match_id,home_team,away_team,proba_home,odd_home,y_home
1,TeamA,TeamB,0.55,1.90,1
2,TeamC,TeamD,0.40,2.60,0
3,TeamE,TeamF,0.65,1.60,1
4,TeamG,TeamH,0.30,3.20,0
5,TeamI,TeamJ,0.50,2.00,1
6,TeamK,TeamL,0.45,2.30,0
7,TeamM,TeamN,0.60,1.75,1
8,TeamO,TeamP,0.35,2.90,0
9,TeamQ,TeamR,0.70,1.50,1
10,TeamS,TeamT,0.25,3.80,0
11,TeamA,TeamC,0.52,1.95,1
12,TeamB,TeamD,0.48,2.10,0
13,TeamE,TeamG,0.58,1.80,1
14,TeamF,TeamH,0.42,2.40,0
15,TeamI,TeamK,0.55,1.90,1
16,TeamJ,TeamL,0.38,2.70,0
17,TeamM,TeamO,0.62,1.70,1
18,TeamN,TeamP,0.33,3.00,0
19,TeamQ,TeamS,0.68,1.55,1
20,TeamR,TeamT,0.28,3.50,0
21,TeamA,TeamE,0.54,1.92,1
22,TeamB,TeamF,0.46,2.20,0
23,TeamC,TeamG,0.57,1.85,1
24,TeamD,TeamH,0.43,2.35,0
25,TeamI,TeamM,0.53,1.93,1
26,TeamJ,TeamN,0.47,2.15,0
27,TeamK,TeamO,0.59,1.78,1
28,TeamL,TeamP,0.41,2.45,0
29,TeamQ,TeamA,0.66,1.58,1
30,TeamR,TeamB,0.34,2.95,0
31,TeamS,TeamC,0.63,1.68,1
32,TeamT,TeamD,0.37,2.75,0
33,TeamE,TeamI,0.56,1.88,1
34,TeamF,TeamJ,0.44,2.28,0
35,TeamG,TeamK,0.61,1.72,1
36,TeamH,TeamL,0.39,2.65,0
37,TeamM,TeamQ,0.67,1.56,1
38,TeamN,TeamR,0.32,3.10,0
39,TeamO,TeamS,0.64,1.65,1
40,TeamP,TeamT,0.36,2.80,0
41,TeamA,TeamG,0.51,2.00,1
42,TeamB,TeamH,0.49,2.05,0
43,TeamC,TeamK,0.58,1.82,1
44,TeamD,TeamL,0.42,2.38,0
45,TeamE,TeamO,0.55,1.90,1
46,TeamF,TeamP,0.45,2.25,0
47,TeamG,TeamS,0.60,1.76,1
48,TeamH,TeamT,0.40,2.55,0
49,TeamI,TeamQ,0.69,1.52,1
50,TeamJ,TeamR,0.31,3.30,0
